Vertice;Lado;Distancia;Este (X);Norte (Y);Datum
1;'1-2;236,68;214845,481;9367557,683;32718
2;'2-3;708,62;214932,4938;9367777,79;32718
3;'3-4;50,94;215590,091;9367513,762;32718
4;'4-5;189,73;215571,2759;9367466,427;32718
5;'5-6;99,69;215747,5837;9367396,338;32718
6;'6-7;39,32;215709,9431;9367304,031;32718
7;'7-8;239,76;215745,6907;9367287,653;32718
8;'8-9;136,34;215656,3094;9367065,176;32718
9;'9-10;94,41;215530,03;9367116,587;32718
10;'10-11;94,86;215494,7471;9367029,015;32718
11;'11-12;94,41;215406,5934;9367064,059;32718
12;'12-13;297,39;215441,8762;9367151,631;32718
13;'13-14;56,21;215165,5017;9367261,434;32718
14;'14-15;109,87;215186,6735;9367313,504;32718
15;'15-16;39,21;215084,2284;9367353,209;32718
16;'16-17;183,85;215046,1339;9367362,489;32718
17;'17-1;100,16;214931,3317;9367506,091;32718
